idx,page_tsx_path,layout_sidecar,user_path,primary_round,role_guess,key_api_or_ui_contract,appendix_b_axes,playwright_ref,vitest_ref,d3_hand,status_93,gap_issue,controls_notes
1,frontend/app/community/activity/page.tsx,Y,/community/activity,R4,visitor,matrix:96-20:5.3:/community/activity; matrix:93:5.4:/community/activity; matrix:13-1:bucket-community; routes:community.; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:5.3:/community/activity; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R4 user_path=/community/activity; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
2,frontend/app/community/explore/page.tsx,Y,/community/explore,R4,visitor,matrix:96-20:5.3:/community/explore; matrix:93:5.4:/community/explore; matrix:13-1:bucket-community; routes:community.feed / statsPostsByTag; GET /api/v1/community/explore,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:5.3:/community/explore; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R4 user_path=/community/explore; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
3,frontend/app/community/feedback/page.tsx,Y,/community/feedback,R4,visitor,matrix:96-20:5.3:/community/feedback; matrix:93:5.4:/community/feedback; matrix:13-1:bucket-community; routes:community.feedback; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:5.3:/community/feedback; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R4 user_path=/community/feedback; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
4,frontend/app/community/friends/page.tsx,Y,/community/friends,R4,visitor,matrix:96-20:5.3:/community/friends; matrix:93:5.4:/community/friends; matrix:13-1:bucket-community; routes:community.friends; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:5.3:/community/friends; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R4 user_path=/community/friends; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
5,frontend/app/community/me/collects/page.tsx,Y,/community/me/collects,R5,traveler,matrix:96-20:5.3:/community/me/collects; matrix:93:5.4:/community/me/collects; matrix:13-1:bucket-community; routes:community.meCollects; align:n/a-api,nav;cta;browse,e2e/community-me-hub-notes-drawer-ia.spec.ts; e2e/community-me-data-state.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.3:/community/me/collects; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R5 user_path=/community/me/collects; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
6,frontend/app/community/me/likes/page.tsx,Y,/community/me/likes,R5,traveler,matrix:96-20:5.3:/community/me/likes; matrix:93:5.4:/community/me/likes; matrix:13-1:bucket-community; routes:community.meLikes; align:n/a-api,nav;cta;browse,e2e/community-me-hub-notes-drawer-ia.spec.ts; e2e/community-me-data-state.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.3:/community/me/likes; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R5 user_path=/community/me/likes; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
7,frontend/app/community/me/page.tsx,Y,/community/me,R5,traveler,matrix:96-20:5.3:/community/me; matrix:93:5.4:/community/me; matrix:13-1:bucket-community; routes:community.me 聚合；已登录资料卡内 CommunityMeAccountSecurityRow（/me/password、/me/security、runMeLogoutFlow）; align:n/a-api,nav;cta;browse,e2e/community-me-hub-notes-drawer-ia.spec.ts; e2e/community-me-data-state.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.3:/community/me; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R5 user_path=/community/me; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
8,frontend/app/community/me/posts/page.tsx,Y,/community/me/posts,R5,traveler,matrix:96-20:5.3:/community/me/posts; matrix:93:5.4:/community/me/posts; matrix:13-1:bucket-community; routes:community.mePosts; align:n/a-api,nav;cta;browse,e2e/community-me-hub-notes-drawer-ia.spec.ts; e2e/community-me-data-state.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.3:/community/me/posts; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R5 user_path=/community/me/posts; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
9,frontend/app/community/me/reports/[id]/page.tsx,Y,/community/me/reports/:id,R5,traveler,matrix:96-20:5.3:/community/me/reports/[id]; matrix:93:5.4:/community/me/reports/:id; matrix:13-1:bucket-community; routes:community.reportById / reportAppeals; align:n/a-api,nav;cta;browse,e2e/community-me-hub-notes-drawer-ia.spec.ts; e2e/community-me-data-state.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.3:/community/me/reports/[id]; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R5 user_path=/community/me/reports/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
10,frontend/app/community/me/reports/page.tsx,Y,/community/me/reports,R5,traveler,matrix:96-20:5.3:/community/me/reports; matrix:93:5.4:/community/me/reports; matrix:13-1:bucket-community; routes:community.meReports / community.reports; align:n/a-api,nav;cta;browse,e2e/community-me-hub-notes-drawer-ia.spec.ts; e2e/community-me-data-state.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.3:/community/me/reports; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R5 user_path=/community/me/reports; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
11,frontend/app/community/messages/[id]/page.tsx,Y,/community/messages/:id,R4,traveler,matrix:96-20:5.3:/community/messages/[id]; matrix:93:5.4:/community/messages/:id; matrix:13-1:bucket-community; routes:community.conversationMessages; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:5.3:/community/messages/[id]; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R4 user_path=/community/messages/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
