idx,page_tsx_path,layout_sidecar,user_path,primary_round,role_guess,key_api_or_ui_contract,appendix_b_axes,playwright_ref,vitest_ref,d3_hand,status_93,gap_issue,controls_notes
1,frontend/app/(home)/page.tsx,Y,/,R1,visitor,matrix:96-20:5.5:/; matrix:93:5.1:/; matrix:13-1:bucket-singleton; routes:meta、discoverOrders（间接）; GET /health,nav;cta;browse,e2e/smoke.spec.ts; e2e/p0-spine-real-api.spec.ts; npm run e2e:full-chromium,,PENDING,NOT_RUN,matrix:96-20:5.5:/; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R1 user_path=/; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
2,frontend/app/admin/alerts/incidents/[id]/page.tsx,Y,/admin/alerts/incidents/:id,R8,admin,matrix:96-20:5.1:/admin/alerts/incidents/[id]; matrix:93:5.7:/admin/alerts/incidents/:id; matrix:13-1:bucket-admin; routes:admin.alertIncident; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/smoke-admin.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/alerts/incidents/[id]; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R8 user_path=/admin/alerts/incidents/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
3,frontend/app/admin/alerts/incidents/page.tsx,Y,/admin/alerts/incidents,R7,admin,matrix:96-20:5.1:/admin/alerts/incidents; matrix:93:5.7:/admin/alerts/incidents; matrix:13-1:bucket-admin; routes:admin.alertIncident / 列表占位; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/alerts/incidents; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R7 user_path=/admin/alerts/incidents; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
4,frontend/app/admin/api-versions/page.tsx,Y,/admin/api-versions,R7,admin,matrix:96-20:5.1:/admin/api-versions; matrix:93:5.7:/admin/api-versions; matrix:13-1:bucket-admin; routes:admin.apiVersions; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/api-versions; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R7 user_path=/admin/api-versions; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
5,frontend/app/admin/approvals/[id]/page.tsx,Y,/admin/approvals/:id,R8,admin,matrix:96-20:5.1:/admin/approvals/[id]; matrix:93:5.7:/admin/approvals/:id; matrix:13-1:bucket-admin; routes:admin.approvalById / admin.approvalApprove; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/smoke-admin.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/approvals/[id]; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R8 user_path=/admin/approvals/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
6,frontend/app/admin/approvals/page.tsx,Y,/admin/approvals,R7,admin,matrix:96-20:5.1:/admin/approvals; matrix:93:5.7:/admin/approvals; matrix:13-1:bucket-admin; routes:admin.approvals; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/approvals; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R7 user_path=/admin/approvals; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
7,frontend/app/admin/audit/logs/[id]/page.tsx,Y,/admin/audit/logs/:id,R8,admin,matrix:96-20:5.1:/admin/audit/logs/[id]; matrix:93:5.7:/admin/audit/logs/:id; matrix:13-1:bucket-admin; routes:admin.auditLogById; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/smoke-admin.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/audit/logs/[id]; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R8 user_path=/admin/audit/logs/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
8,frontend/app/admin/audit/operations/page.tsx,Y,/admin/audit/operations,R7,admin,matrix:96-20:5.1:/admin/audit/operations; matrix:93:5.7:/admin/audit/operations; matrix:13-1:bucket-admin; routes:admin.auditOperations; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/audit/operations; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R7 user_path=/admin/audit/operations; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
9,frontend/app/admin/audit/page.tsx,Y,/admin/audit,R7,admin,matrix:96-20:5.1:/admin/audit; matrix:93:5.7:/admin/audit; matrix:13-1:bucket-admin; routes:admin.auditLogs; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/audit; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R7 user_path=/admin/audit; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
10,frontend/app/admin/community/abuse-policy/page.tsx,Y,/admin/community/abuse-policy,R4,admin,matrix:96-20:5.1:/admin/community/abuse-policy; matrix:93:5.7:/admin/community/abuse-policy; matrix:13-1:bucket-admin; routes:admin.communityAbusePolicy; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/community/abuse-policy; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/abuse-policy; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
