idx,page_tsx_path,layout_sidecar,user_path,primary_round,role_guess,key_api_or_ui_contract,appendix_b_axes,playwright_ref,vitest_ref,d3_hand,status_93,gap_issue,controls_notes
1,frontend/app/(home)/page.tsx,Y,/,R1,visitor,matrix:96-20:auto:home; GET /health; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/p0-spine-real-api.spec.ts; npm run e2e:full-chromium,,PENDING,NOT_RUN,matrix:96-20:auto:home; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R1 user_path=/; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
2,frontend/app/admin/alerts/incidents/[id]/page.tsx,Y,/admin/alerts/incidents/:id,R8,admin,matrix:96-20:auto:admin-alerts-incidents-id; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/smoke-admin.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-alerts-incidents-id; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R8 user_path=/admin/alerts/incidents/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
3,frontend/app/admin/alerts/incidents/page.tsx,Y,/admin/alerts/incidents,R7,admin,matrix:96-20:auto:admin-alerts-incidents; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-alerts-incidents; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/alerts/incidents; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
4,frontend/app/admin/api-versions/page.tsx,Y,/admin/api-versions,R7,admin,matrix:96-20:auto:admin-api-versions; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-api-versions; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/api-versions; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
5,frontend/app/admin/approvals/[id]/page.tsx,Y,/admin/approvals/:id,R8,admin,matrix:96-20:auto:admin-approvals-id; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/smoke-admin.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-approvals-id; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R8 user_path=/admin/approvals/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
6,frontend/app/admin/approvals/page.tsx,Y,/admin/approvals,R7,admin,matrix:96-20:auto:admin-approvals; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-approvals; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/approvals; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
7,frontend/app/admin/audit/logs/[id]/page.tsx,Y,/admin/audit/logs/:id,R8,admin,matrix:96-20:auto:admin-audit-logs-id; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/smoke-admin.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-audit-logs-id; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R8 user_path=/admin/audit/logs/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
8,frontend/app/admin/audit/operations/page.tsx,Y,/admin/audit/operations,R7,admin,matrix:96-20:auto:admin-audit-operations; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-audit-operations; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/audit/operations; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
9,frontend/app/admin/audit/page.tsx,Y,/admin/audit,R7,admin,matrix:96-20:auto:admin-audit; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-audit; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/audit; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
10,frontend/app/admin/community/abuse-policy/page.tsx,Y,/admin/community/abuse-policy,R4,admin,matrix:96-20:auto:admin-community-abuse-policy; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:auto:admin-community-abuse-policy; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/abuse-policy; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
11,frontend/app/admin/community/appeals/page.tsx,Y,/admin/community/appeals,R4,admin,matrix:96-20:auto:admin-community-appeals; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:auto:admin-community-appeals; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/appeals; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
12,frontend/app/admin/community/appeals/review/page.tsx,Y,/admin/community/appeals/review,R4,admin,matrix:96-20:auto:admin-community-appeals-review; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:auto:admin-community-appeals-review; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/appeals/review; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
13,frontend/app/admin/community/comments/visibility/page.tsx,Y,/admin/community/comments/visibility,R4,admin,matrix:96-20:auto:admin-community-comments-visibility; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:auto:admin-community-comments-visibility; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/comments/visibility; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
14,frontend/app/admin/community/moderation/cases/page.tsx,Y,/admin/community/moderation/cases,R4,admin,matrix:96-20:auto:admin-community-moderation-cases; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:auto:admin-community-moderation-cases; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/moderation/cases; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
15,frontend/app/admin/community/penalties/page.tsx,Y,/admin/community/penalties,R4,admin,matrix:96-20:auto:admin-community-penalties; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:auto:admin-community-penalties; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/penalties; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
16,frontend/app/admin/community/policy-change-logs/page.tsx,Y,/admin/community/policy-change-logs,R4,admin,matrix:96-20:auto:admin-community-policy-change-logs; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:auto:admin-community-policy-change-logs; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/policy-change-logs; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
17,frontend/app/admin/community/ranking/snapshots/page.tsx,Y,/admin/community/ranking/snapshots,R4,admin,matrix:96-20:auto:admin-community-ranking-snapshots; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:auto:admin-community-ranking-snapshots; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/ranking/snapshots; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
18,frontend/app/admin/community/reports/page.tsx,Y,/admin/community/reports,R4,admin,matrix:96-20:auto:admin-community-reports; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:auto:admin-community-reports; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/reports; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
19,frontend/app/admin/community/risk-signals/page.tsx,Y,/admin/community/risk-signals,R4,admin,matrix:96-20:auto:admin-community-risk-signals; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:auto:admin-community-risk-signals; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/risk-signals; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
20,frontend/app/admin/compliance/requests/[requestId]/events/page.tsx,Y,/admin/compliance/requests/:requestId/events,R8,admin,matrix:96-20:auto:admin-compliance-requests-requestid-events; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/smoke-admin.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-compliance-requests-requestid-events; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R8 user_path=/admin/compliance/requests/:requestId/events; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
21,frontend/app/admin/compliance/requests/[requestId]/update/page.tsx,Y,/admin/compliance/requests/:requestId/update,R8,admin,matrix:96-20:auto:admin-compliance-requests-requestid-update; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/smoke-admin.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-compliance-requests-requestid-update; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R8 user_path=/admin/compliance/requests/:requestId/update; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
22,frontend/app/admin/compliance/requests/page.tsx,Y,/admin/compliance/requests,R7,admin,matrix:96-20:auto:admin-compliance-requests; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-compliance-requests; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/compliance/requests; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
23,frontend/app/admin/config/page.tsx,Y,/admin/config,R7,admin,matrix:96-20:auto:admin-config; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-config; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/config; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
24,frontend/app/admin/config/releases/[id]/page.tsx,Y,/admin/config/releases/:id,R8,admin,matrix:96-20:auto:admin-config-releases-id; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/smoke-admin.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-config-releases-id; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R8 user_path=/admin/config/releases/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
