idx,page_tsx_path,layout_sidecar,user_path,primary_round,role_guess,key_api_or_ui_contract,appendix_b_axes,playwright_ref,vitest_ref,d3_hand,status_93,gap_issue,controls_notes
1,frontend/app/(home)/page.tsx,Y,/,R1,visitor,matrix:96-20:5.5:/; matrix:93:5.1:/; matrix:13-1:bucket-singleton; routes:meta、discoverOrders（间接）; GET /health,nav;cta;browse,e2e/smoke.spec.ts; e2e/p0-spine-real-api.spec.ts; npm run e2e:full-chromium,,PENDING,NOT_RUN,matrix:96-20:5.5:/; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R1 user_path=/; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
2,frontend/app/did-rank/page.tsx,Y,/did-rank,R9,visitor,matrix:96-20:5.5:/did-rank; matrix:93:5.6:/did-rank; matrix:13-1:bucket-singleton; routes:didRankTravelers / Guides / Itineraries; align:n/a-api,nav;cta;browse,e2e/smoke-governance.spec.ts; e2e/release-flow.spec.ts; e2e/93-matrix-path-did-rank-boards.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.5:/did-rank; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R9 user_path=/did-rank; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
3,frontend/app/discover/page.tsx,Y,/discover,R1,visitor,matrix:96-20:5.5:/discover; matrix:93:5.3:/discover; matrix:13-1:bucket-singleton; routes:discoverOrders; GET /api/v1/discover/orders,nav;cta;browse,e2e/smoke.spec.ts; e2e/p0-spine-real-api.spec.ts; npm run e2e:full-chromium,,PENDING,NOT_RUN,matrix:96-20:5.5:/discover; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R1 user_path=/discover; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
4,frontend/app/help/page.tsx,Y,/help,R1,visitor,matrix:96-20:5.7:/help; matrix:93:5.6:/help; matrix:13-1:bucket-singleton; routes:静态为主; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/p0-spine-real-api.spec.ts; npm run e2e:full-chromium,,PENDING,NOT_RUN,matrix:96-20:5.7:/help; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R1 user_path=/help; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
5,frontend/app/itinerary/new/page.tsx,Y,/itinerary/new,R3,visitor,matrix:96-20:5.6:/itinerary/new; matrix:93:5.3:/itinerary/new; matrix:13-1:bucket-singleton; routes:itineraries / itinerariesCustom; align:n/a-api,nav;cta;browse,e2e/p0-spine-real-api.spec.ts; e2e/b467-full-ui-order-journey.spec.ts; npm run e2e:trust-gate,,PENDING,NOT_RUN,matrix:96-20:5.6:/itinerary/new; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R3 user_path=/itinerary/new; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
6,frontend/app/network/page.tsx,Y,/network,R1,visitor,matrix:96-20:5.7:/network; matrix:93:5.1:/network; matrix:13-1:bucket-singleton; routes:N/A（重定向）; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/p0-spine-real-api.spec.ts; npm run e2e:full-chromium,,PENDING,NOT_RUN,matrix:96-20:5.7:/network; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R1 user_path=/network; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
7,frontend/app/pay/page.tsx,Y,/pay,R3,visitor,matrix:96-20:5.5:/pay; matrix:93:5.3:/pay; matrix:13-1:bucket-singleton; routes:orders / 支付相关（须 L3）; align:n/a-api,nav;cta;browse,e2e/p0-spine-real-api.spec.ts; e2e/b467-full-ui-order-journey.spec.ts; npm run e2e:trust-gate,,PENDING,NOT_RUN,matrix:96-20:5.5:/pay; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R3 user_path=/pay; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
8,frontend/app/privacy/page.tsx,Y,/privacy,R9,visitor,matrix:96-20:5.7:/privacy; matrix:93:5.6:/privacy; matrix:13-1:bucket-singleton; routes:静态; align:n/a-api,nav;cta;browse,e2e/smoke-governance.spec.ts; e2e/release-flow.spec.ts; e2e/93-matrix-path-did-rank-boards.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.7:/privacy; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R9 user_path=/privacy; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
9,frontend/app/staking/page.tsx,Y,/staking,R9,visitor,matrix:96-20:5.7:/staking; matrix:93:5.5:/staking; matrix:13-1:bucket-singleton; routes:链上组件（须 L3）; align:n/a-api,nav;cta;browse,e2e/smoke-governance.spec.ts; e2e/release-flow.spec.ts; e2e/93-matrix-path-did-rank-boards.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.7:/staking; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R9 user_path=/staking; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
10,frontend/app/traveltrust/page.tsx,Y,/traveltrust,R1,visitor,matrix:96-20:5.7:/traveltrust; matrix:93:5.1:/traveltrust; matrix:13-1:bucket-singleton; routes:traveltrustPageBrief、governanceProtocolReference（间接）; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/p0-spine-real-api.spec.ts; npm run e2e:full-chromium,,PENDING,NOT_RUN,matrix:96-20:5.7:/traveltrust; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R1 user_path=/traveltrust; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
11,frontend/app/trust/page.tsx,Y,/trust,R1,visitor,matrix:96-20:5.7:/trust; matrix:93:5.1:/trust; matrix:13-1:bucket-singleton; routes:静态/品牌（须 L3）; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/p0-spine-real-api.spec.ts; npm run e2e:full-chromium,,PENDING,NOT_RUN,matrix:96-20:5.7:/trust; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R1 user_path=/trust; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
