idx,page_tsx_path,layout_sidecar,user_path,primary_round,role_guess,key_api_or_ui_contract,appendix_b_axes,playwright_ref,vitest_ref,d3_hand,status_93,gap_issue,controls_notes
1,frontend/app/admin/community/abuse-policy/page.tsx,Y,/admin/community/abuse-policy,R4,admin,matrix:96-20:auto:admin-community-abuse-policy; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:auto:admin-community-abuse-policy; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/abuse-policy; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
2,frontend/app/admin/community/appeals/page.tsx,Y,/admin/community/appeals,R4,admin,matrix:96-20:auto:admin-community-appeals; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:auto:admin-community-appeals; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/appeals; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
3,frontend/app/admin/community/appeals/review/page.tsx,Y,/admin/community/appeals/review,R4,admin,matrix:96-20:auto:admin-community-appeals-review; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:auto:admin-community-appeals-review; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/appeals/review; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
4,frontend/app/admin/community/comments/visibility/page.tsx,Y,/admin/community/comments/visibility,R4,admin,matrix:96-20:auto:admin-community-comments-visibility; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:auto:admin-community-comments-visibility; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/comments/visibility; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
5,frontend/app/admin/community/moderation/cases/page.tsx,Y,/admin/community/moderation/cases,R4,admin,matrix:96-20:auto:admin-community-moderation-cases; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:auto:admin-community-moderation-cases; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/moderation/cases; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
6,frontend/app/admin/community/penalties/page.tsx,Y,/admin/community/penalties,R4,admin,matrix:96-20:auto:admin-community-penalties; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:auto:admin-community-penalties; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/penalties; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
7,frontend/app/admin/community/policy-change-logs/page.tsx,Y,/admin/community/policy-change-logs,R4,admin,matrix:96-20:auto:admin-community-policy-change-logs; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:auto:admin-community-policy-change-logs; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/policy-change-logs; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
8,frontend/app/admin/community/ranking/snapshots/page.tsx,Y,/admin/community/ranking/snapshots,R4,admin,matrix:96-20:auto:admin-community-ranking-snapshots; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:auto:admin-community-ranking-snapshots; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/ranking/snapshots; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
9,frontend/app/admin/community/reports/page.tsx,Y,/admin/community/reports,R4,admin,matrix:96-20:auto:admin-community-reports; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:auto:admin-community-reports; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/reports; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
10,frontend/app/admin/community/risk-signals/page.tsx,Y,/admin/community/risk-signals,R4,admin,matrix:96-20:auto:admin-community-risk-signals; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:auto:admin-community-risk-signals; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/risk-signals; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
